file,project,version,loc,lloc,sloc,comments,multi,blank,cyclo,wmc,η1,η2,N1,N2,η,N,N_hat,V,D,E,T,B,cbo,lcom,DIT,rfc,ComplexMethod
tests\generic_views\__init__.py,django-3.2,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tests\get_earliest_or_latest\models.py,django-3.2,3.2,31.0,16.0,15.0,2.0,4.0,10.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,2.0,0
tests\get_earliest_or_latest\tests.py,django-3.2,3.2,201.0,84.0,138.0,28.0,4.0,30.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,1.0,14.0,0
tests\get_earliest_or_latest\__init__.py,django-3.2,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tests\get_object_or_404\models.py,django-3.2,3.2,35.0,16.0,15.0,0.0,9.0,11.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,3.0,0
tests\get_object_or_404\tests.py,django-3.2,3.2,106.0,47.0,66.0,16.0,0.0,22.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,11.0,0
tests\get_object_or_404\__init__.py,django-3.2,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tests\get_or_create\models.py,django-3.2,3.2,61.0,35.0,40.0,0.0,0.0,21.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0,6.0,0
tests\get_or_create\tests.py,django-3.2,3.2,631.0,373.0,395.0,40.0,99.0,95.0,71.0,71.0,4.0,9.0,5.0,9.0,13.0,14.0,36.529,51.806,2.0,103.612,5.756,0.017269,44.0,6.0,1.0,30.0,0
tests\get_or_create\__init__.py,django-3.2,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tests\gis_tests\admin.py,django-3.2,3.2,6.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tests\gis_tests\models.py,django-3.2,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tests\gis_tests\tests.py,django-3.2,3.2,85.0,62.0,67.0,0.0,3.0,15.0,21.0,21.0,2.0,4.0,3.0,6.0,6.0,9.0,10.0,23.265,1.5,34.897,1.939,0.007755,10.0,2.0,1.0,12.0,0
tests\gis_tests\test_data.py,django-3.2,3.2,88.0,47.0,41.0,6.0,21.0,18.0,33.0,33.0,3.0,6.0,3.0,6.0,9.0,9.0,20.265,28.529,1.5,42.794,2.377,0.00951,17.0,1.0,1.0,3.0,0
tests\gis_tests\test_fields.py,django-3.2,3.2,40.0,22.0,32.0,0.0,0.0,8.0,8.0,8.0,1.0,1.0,2.0,2.0,2.0,4.0,0.0,4.0,1.0,4.0,0.222,0.001333,9.0,1.0,1.0,4.0,0
tests\gis_tests\test_geoforms.py,django-3.2,3.2,439.0,265.0,332.0,28.0,12.0,65.0,59.0,59.0,2.0,16.0,8.0,16.0,18.0,24.0,66.0,100.078,1.0,100.078,5.56,0.033359,43.0,2.0,1.0,27.0,0
tests\gis_tests\test_geoip2.py,django-3.2,3.2,171.0,114.0,135.0,15.0,0.0,20.0,18.0,18.0,2.0,14.0,8.0,16.0,16.0,24.0,55.303,96.0,1.143,109.714,6.095,0.032,18.0,3.0,1.0,30.0,0
tests\gis_tests\test_gis_tests_utils.py,django-3.2,3.2,51.0,38.0,38.0,0.0,0.0,13.0,8.0,8.0,1.0,2.0,2.0,4.0,3.0,6.0,2.0,9.51,1.0,9.51,0.528,0.00317,4.0,5.0,1.0,6.0,0
tests\gis_tests\test_measure.py,django-3.2,3.2,304.0,230.0,210.0,0.0,4.0,69.0,32.0,32.0,6.0,36.0,48.0,92.0,42.0,140.0,201.627,754.924,7.667,5787.754,321.542,0.251641,29.0,1.0,0.0,22.0,0
tests\gis_tests\test_ptr.py,django-3.2,3.2,74.0,46.0,46.0,12.0,0.0,16.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,2.0,10.0,0
tests\gis_tests\test_spatialrefsys.py,django-3.2,3.2,135.0,57.0,97.0,13.0,13.0,16.0,19.0,19.0,3.0,6.0,5.0,7.0,9.0,12.0,20.265,38.039,1.75,66.568,3.698,0.01268,8.0,2.0,1.0,20.0,0
tests\gis_tests\utils.py,django-3.2,3.2,65.0,48.0,48.0,3.0,3.0,10.0,5.0,5.0,5.0,13.0,7.0,13.0,18.0,20.0,59.715,83.399,2.5,208.496,11.583,0.0278,8.0,2.0,0.0,12.0,0
tests\gis_tests\__init__.py,django-3.2,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tests\handlers\tests.py,django-3.2,3.2,286.0,194.0,200.0,13.0,19.0,53.0,50.0,50.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,4.755,0.5,2.377,0.132,0.001585,37.0,4.0,1.0,18.0,0
tests\handlers\tests_custom_error_handlers.py,django-3.2,3.2,43.0,25.0,25.0,2.0,3.0,13.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,3.0,0
tests\handlers\test_exception.py,django-3.2,3.2,27.0,18.0,22.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,1.0,5.0,0
tests\handlers\urls.py,django-3.2,3.2,18.0,3.0,16.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tests\handlers\views.py,django-3.2,3.2,69.0,40.0,39.0,1.0,0.0,28.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,0
tests\handlers\__init__.py,django-3.2,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tests\httpwrappers\tests.py,django-3.2,3.2,853.0,622.0,611.0,74.0,20.0,141.0,100.0,100.0,2.0,6.0,3.0,6.0,8.0,9.0,17.51,27.0,1.0,27.0,1.5,0.009,69.0,5.0,1.0,51.0,1
tests\httpwrappers\__init__.py,django-3.2,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tests\humanize_tests\tests.py,django-3.2,3.2,361.0,157.0,301.0,20.0,7.0,34.0,33.0,33.0,8.0,71.0,58.0,113.0,79.0,171.0,460.632,1077.947,6.366,6862.42,381.246,0.359316,15.0,3.0,1.0,33.0,0
tests\humanize_tests\__init__.py,django-3.2,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tests\i18n\forms.py,django-3.2,3.2,26.0,18.0,18.0,0.0,0.0,8.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,0
tests\i18n\models.py,django-3.2,3.2,18.0,12.0,12.0,0.0,0.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,0
tests\i18n\tests.py,django-3.2,3.2,2022.0,1080.0,1621.0,72.0,127.0,207.0,161.0,161.0,5.0,86.0,69.0,119.0,91.0,188.0,564.268,1223.465,3.459,4232.337,235.13,0.407822,194.0,4.0,2.0,43.0,1
tests\i18n\test_compilation.py,django-3.2,3.2,248.0,177.0,180.0,11.0,0.0,58.0,50.0,50.0,4.0,36.0,25.0,50.0,40.0,75.0,194.117,399.145,2.778,1108.735,61.596,0.133048,59.0,3.0,3.0,12.0,0
tests\i18n\test_extraction.py,django-3.2,3.2,799.0,524.0,571.0,30.0,62.0,127.0,106.0,106.0,11.0,62.0,40.0,79.0,73.0,119.0,407.214,736.589,7.008,5162.064,286.781,0.24553,96.0,7.0,2.0,46.0,1
tests\i18n\test_management.py,django-3.2,3.2,22.0,17.0,17.0,0.0,0.0,5.0,4.0,4.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,4.755,0.5,2.377,0.132,0.001585,4.0,1.0,1.0,5.0,0
tests\i18n\test_percents.py,django-3.2,3.2,152.0,78.0,104.0,2.0,11.0,34.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,2.0,8.0,0
tests\i18n\urls.py,django-3.2,3.2,9.0,6.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tests\i18n\urls_default_unprefixed.py,django-3.2,3.2,11.0,6.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tests\i18n\utils.py,django-3.2,3.2,61.0,33.0,34.0,4.0,10.0,13.0,13.0,13.0,2.0,10.0,5.0,10.0,12.0,15.0,35.219,53.774,1.0,53.774,2.987,0.017925,7.0,2.0,0.0,11.0,0
tests\i18n\__init__.py,django-3.2,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tests\import_error_package\__init__.py,django-3.2,3.2,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tests\indexes\models.py,django-3.2,3.2,61.0,34.0,35.0,5.0,3.0,18.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,3.0,0
tests\indexes\tests.py,django-3.2,3.2,600.0,295.0,515.0,19.0,16.0,51.0,57.0,57.0,6.0,65.0,34.0,68.0,71.0,102.0,406.964,627.274,3.138,1968.676,109.371,0.209091,73.0,1.0,1.0,24.0,0
tests\indexes\__init__.py,django-3.2,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tests\inline_formsets\models.py,django-3.2,3.2,34.0,21.0,21.0,0.0,0.0,13.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,3.0,0
tests\inline_formsets\tests.py,django-3.2,3.2,204.0,118.0,141.0,10.0,33.0,21.0,18.0,18.0,2.0,6.0,3.0,6.0,8.0,9.0,17.51,27.0,1.0,27.0,1.5,0.009,15.0,5.0,1.0,15.0,0
tests\inline_formsets\__init__.py,django-3.2,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tests\inspectdb\models.py,django-3.2,3.2,111.0,73.0,80.0,2.0,0.0,29.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,22.0,0
tests\inspectdb\tests.py,django-3.2,3.2,466.0,307.0,379.0,14.0,23.0,42.0,41.0,41.0,5.0,52.0,38.0,70.0,57.0,108.0,308.033,629.952,3.365,2120.031,117.78,0.209984,25.0,2.0,1.0,32.0,0
tests\inspectdb\__init__.py,django-3.2,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tests\introspection\models.py,django-3.2,3.2,97.0,56.0,73.0,0.0,0.0,24.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,6.0,0
tests\introspection\tests.py,django-3.2,3.2,304.0,203.0,253.0,14.0,7.0,30.0,66.0,66.0,10.0,58.0,31.0,61.0,68.0,92.0,372.982,560.047,5.259,2945.073,163.615,0.186682,20.0,1.0,1.0,51.0,0
tests\introspection\__init__.py,django-3.2,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tests\invalid_models_tests\test_backend_specific.py,django-3.2,3.2,28.0,18.0,17.0,2.0,0.0,8.0,4.0,4.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,4.755,0.5,2.377,0.132,0.001585,8.0,1.0,1.0,6.0,0
tests\invalid_models_tests\test_custom_fields.py,django-3.2,3.2,20.0,14.0,14.0,1.0,0.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,1.0,4.0,0
tests\invalid_models_tests\test_deprecated_fields.py,django-3.2,3.2,54.0,21.0,47.0,0.0,0.0,7.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,1.0,8.0,0
tests\invalid_models_tests\test_models.py,django-3.2,3.2,2180.0,902.0,1763.0,24.0,8.0,385.0,152.0,152.0,13.0,81.0,45.0,89.0,94.0,134.0,561.634,878.315,7.142,6272.903,348.495,0.292772,101.0,3.0,3.0,45.0,1
tests\invalid_models_tests\test_ordinary_fields.py,django-3.2,3.2,889.0,393.0,735.0,8.0,0.0,149.0,103.0,103.0,3.0,19.0,13.0,23.0,22.0,36.0,85.466,160.54,1.816,291.506,16.195,0.053513,106.0,2.0,1.0,28.0,1
tests\invalid_models_tests\test_relative_fields.py,django-3.2,3.2,1782.0,619.0,1484.0,16.0,28.0,256.0,114.0,114.0,1.0,26.0,15.0,30.0,27.0,45.0,122.211,213.97,0.577,123.444,6.858,0.071323,89.0,8.0,1.0,40.0,1
tests\invalid_models_tests\__init__.py,django-3.2,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tests\known_related_objects\models.py,django-3.2,3.2,26.0,13.0,12.0,0.0,4.0,10.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,0
tests\known_related_objects\tests.py,django-3.2,3.2,138.0,115.0,115.0,2.0,0.0,21.0,23.0,23.0,2.0,10.0,5.0,10.0,12.0,15.0,35.219,53.774,1.0,53.774,2.987,0.017925,10.0,2.0,1.0,28.0,0
tests\known_related_objects\__init__.py,django-3.2,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tests\logging_tests\logconfig.py,django-3.2,3.2,21.0,14.0,14.0,0.0,0.0,7.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,2.0,0
tests\logging_tests\tests.py,django-3.2,3.2,592.0,330.0,445.0,12.0,38.0,97.0,79.0,79.0,2.0,12.0,6.0,12.0,14.0,18.0,45.02,68.532,1.0,68.532,3.807,0.022844,78.0,3.0,1.0,24.0,0
tests\logging_tests\urls.py,django-3.2,3.2,15.0,3.0,13.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tests\logging_tests\urls_i18n.py,django-3.2,3.2,7.0,5.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tests\logging_tests\views.py,django-3.2,3.2,48.0,24.0,28.0,0.0,0.0,20.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
tests\logging_tests\__init__.py,django-3.2,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tests\lookup\models.py,django-3.2,3.2,109.0,63.0,69.0,0.0,4.0,36.0,23.0,23.0,2.0,4.0,2.0,4.0,6.0,6.0,10.0,15.51,1.0,15.51,0.862,0.00517,25.0,1.0,1.0,5.0,0
tests\lookup\tests.py,django-3.2,3.2,1006.0,409.0,851.0,61.0,20.0,72.0,60.0,60.0,4.0,24.0,36.0,72.0,28.0,108.0,118.039,519.194,6.0,3115.166,173.065,0.173065,19.0,3.0,1.0,90.0,0
tests\lookup\test_decimalfield.py,django-3.2,3.2,37.0,28.0,30.0,0.0,0.0,7.0,7.0,7.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,4.755,0.5,2.377,0.132,0.001585,4.0,2.0,1.0,9.0,0
tests\lookup\test_lookups.py,django-3.2,3.2,40.0,29.0,32.0,0.0,0.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,1.0,4.0,0
tests\lookup\test_timefield.py,django-3.2,3.2,31.0,14.0,23.0,1.0,0.0,7.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,7.0,0
tests\lookup\__init__.py,django-3.2,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tests\m2m_and_m2o\models.py,django-3.2,3.2,26.0,14.0,13.0,0.0,4.0,9.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,4.0,0
tests\m2m_and_m2o\tests.py,django-3.2,3.2,94.0,43.0,76.0,4.0,4.0,12.0,9.0,9.0,1.0,6.0,3.0,6.0,7.0,9.0,15.51,25.266,0.5,12.633,0.702,0.008422,13.0,2.0,1.0,10.0,0
tests\m2m_and_m2o\__init__.py,django-3.2,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tests\m2m_intermediary\models.py,django-3.2,3.2,31.0,14.0,13.0,0.0,9.0,9.0,5.0,5.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,4.755,0.5,2.377,0.132,0.001585,7.0,1.0,0.0,2.0,0
tests\m2m_intermediary\tests.py,django-3.2,3.2,38.0,18.0,29.0,0.0,0.0,9.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,7.0,0
tests\m2m_intermediary\__init__.py,django-3.2,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tests\m2m_multiple\models.py,django-3.2,3.2,33.0,17.0,16.0,0.0,6.0,11.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,0
tests\m2m_multiple\tests.py,django-3.2,3.2,84.0,30.0,77.0,0.0,0.0,7.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,5.0,0
tests\m2m_multiple\__init__.py,django-3.2,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tests\m2m_recursive\models.py,django-3.2,3.2,35.0,13.0,12.0,0.0,14.0,9.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,3.0,0
tests\m2m_recursive\tests.py,django-3.2,3.2,119.0,69.0,89.0,12.0,0.0,18.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,1.0,16.0,0
tests\m2m_recursive\__init__.py,django-3.2,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tests\m2m_regress\models.py,django-3.2,3.2,94.0,48.0,47.0,13.0,3.0,31.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,1.0,1.0,3.0,0
tests\m2m_regress\tests.py,django-3.2,3.2,120.0,71.0,77.0,16.0,0.0,27.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,5.0,1.0,23.0,0
tests\m2m_regress\__init__.py,django-3.2,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tests\m2m_signals\models.py,django-3.2,3.2,30.0,19.0,19.0,0.0,0.0,11.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0
tests\m2m_signals\tests.py,django-3.2,3.2,493.0,181.0,416.0,19.0,10.0,47.0,24.0,24.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,4.755,0.5,2.377,0.132,0.001585,7.0,3.0,1.0,34.0,0
tests\m2m_signals\__init__.py,django-3.2,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tests\m2m_through\models.py,django-3.2,3.2,140.0,76.0,96.0,4.0,0.0,40.0,19.0,19.0,1.0,3.0,2.0,4.0,4.0,6.0,4.755,12.0,0.667,8.0,0.444,0.004,16.0,1.0,0.0,4.0,0
tests\m2m_through\tests.py,django-3.2,3.2,565.0,299.0,466.0,8.0,4.0,87.0,61.0,61.0,2.0,4.0,2.0,4.0,6.0,6.0,10.0,15.51,1.0,15.51,0.862,0.00517,18.0,3.0,1.0,60.0,0
tests\m2m_through\__init__.py,django-3.2,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tests\m2m_through_regress\models.py,django-3.2,3.2,90.0,51.0,55.0,5.0,0.0,30.0,22.0,22.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,4.755,0.5,2.377,0.132,0.001585,28.0,1.0,2.0,3.0,0
tests\m2m_through_regress\tests.py,django-3.2,3.2,217.0,116.0,158.0,13.0,8.0,37.0,32.0,32.0,1.0,3.0,2.0,4.0,4.0,6.0,4.755,12.0,0.667,8.0,0.444,0.004,16.0,2.0,1.0,22.0,0
tests\m2m_through_regress\test_multitable.py,django-3.2,3.2,49.0,38.0,40.0,0.0,0.0,9.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,14.0,0
tests\m2m_through_regress\__init__.py,django-3.2,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tests\m2o_recursive\models.py,django-3.2,3.2,30.0,13.0,12.0,0.0,8.0,10.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,3.0,0
tests\m2o_recursive\tests.py,django-3.2,3.2,35.0,26.0,26.0,0.0,0.0,9.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,8.0,0
tests\m2o_recursive\__init__.py,django-3.2,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tests\mail\custombackend.py,django-3.2,3.2,15.0,9.0,8.0,1.0,0.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,4.0,0
tests\mail\tests.py,django-3.2,3.2,1701.0,1029.0,1262.0,53.0,163.0,221.0,205.0,205.0,8.0,50.0,31.0,60.0,58.0,91.0,306.193,533.076,4.8,2558.766,142.154,0.177692,161.0,8.0,2.0,85.0,1
tests\mail\test_sendtestemail.py,django-3.2,3.2,82.0,44.0,54.0,0.0,21.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,7.0,0
tests\mail\__init__.py,django-3.2,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tests\managers_regress\models.py,django-3.2,3.2,138.0,74.0,75.0,9.0,3.0,51.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,1.0,2.0,4.0,0
