file,project,version,loc,lloc,sloc,comments,multi,blank,cyclo,wmc,η1,η2,N1,N2,η,N,N_hat,V,D,E,T,B,cbo,lcom,DIT,rfc,ComplexMethod
tests\app_loading\__init__.py,django-2.2,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tests\auth_tests\backend_alias.py,django-2.2,2.2,4.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tests\auth_tests\client.py,django-2.2,2.2,41.0,23.0,24.0,1.0,8.0,8.0,8.0,8.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,0.5,1.0,0.056,0.000667,5.0,2.0,1.0,8.0,0
tests\auth_tests\settings.py,django-2.2,2.2,18.0,4.0,16.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tests\auth_tests\test_admin_multidb.py,django-2.2,2.2,52.0,33.0,40.0,0.0,0.0,12.0,10.0,10.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,4.755,0.5,2.377,0.132,0.001585,8.0,2.0,1.0,8.0,0
tests\auth_tests\test_auth_backends.py,django-2.2,2.2,748.0,454.0,480.0,20.0,92.0,153.0,136.0,136.0,6.0,27.0,17.0,28.0,33.0,45.0,143.892,226.998,3.111,706.215,39.234,0.075666,107.0,4.0,1.0,29.0,1
tests\auth_tests\test_basic.py,django-2.2,2.2,125.0,96.0,91.0,7.0,0.0,21.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,1.0,24.0,0
tests\auth_tests\test_checks.py,django-2.2,2.2,202.0,89.0,171.0,0.0,7.0,22.0,14.0,14.0,2.0,9.0,5.0,10.0,11.0,15.0,30.529,51.891,1.111,57.657,3.203,0.017297,17.0,2.0,1.0,11.0,0
tests\auth_tests\test_context_processors.py,django-2.2,2.2,140.0,86.0,84.0,9.0,26.0,21.0,18.0,18.0,6.0,13.0,7.0,14.0,19.0,21.0,63.615,89.206,3.231,288.206,16.011,0.029735,13.0,3.0,1.0,17.0,0
tests\auth_tests\test_decorators.py,django-2.2,2.2,120.0,83.0,79.0,1.0,20.0,20.0,15.0,15.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,4.755,0.5,2.377,0.132,0.001585,15.0,5.0,1.0,13.0,0
tests\auth_tests\test_forms.py,django-2.2,2.2,987.0,641.0,789.0,49.0,30.0,122.0,96.0,96.0,4.0,14.0,7.0,14.0,18.0,21.0,61.303,87.568,2.0,175.137,9.73,0.029189,80.0,3.0,1.0,33.0,1
tests\auth_tests\test_handlers.py,django-2.2,2.2,75.0,31.0,33.0,10.0,16.0,16.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,12.0,0
tests\auth_tests\test_hashers.py,django-2.2,2.2,566.0,412.0,434.0,40.0,4.0,88.0,47.0,47.0,4.0,16.0,9.0,18.0,20.0,27.0,72.0,116.692,2.25,262.557,14.587,0.038897,33.0,3.0,1.0,40.0,0
tests\auth_tests\test_management.py,django-2.2,2.2,1003.0,506.0,766.0,31.0,59.0,138.0,73.0,73.0,7.0,18.0,10.0,20.0,25.0,30.0,94.71,139.316,3.889,541.783,30.099,0.046439,59.0,7.0,1.0,53.0,0
tests\auth_tests\test_middleware.py,django-2.2,2.2,29.0,23.0,23.0,2.0,0.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,12.0,0
tests\auth_tests\test_migrations.py,django-2.2,2.2,154.0,101.0,123.0,4.0,10.0,17.0,24.0,24.0,1.0,8.0,12.0,24.0,9.0,36.0,24.0,114.117,1.5,171.176,9.51,0.038039,10.0,1.0,1.0,18.0,0
tests\auth_tests\test_mixins.py,django-2.2,2.2,278.0,195.0,200.0,4.0,4.0,70.0,42.0,42.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,0.5,1.0,0.056,0.000667,48.0,2.0,2.0,14.0,0
tests\auth_tests\test_models.py,django-2.2,2.2,382.0,231.0,279.0,14.0,20.0,71.0,69.0,69.0,1.0,4.0,2.0,4.0,5.0,6.0,8.0,13.932,0.5,6.966,0.387,0.004644,64.0,2.0,1.0,23.0,0
tests\auth_tests\test_remote_user.py,django-2.2,2.2,281.0,174.0,153.0,18.0,63.0,45.0,32.0,32.0,1.0,2.0,3.0,6.0,3.0,9.0,2.0,14.265,1.5,21.397,1.189,0.004755,27.0,2.0,2.0,21.0,0
tests\auth_tests\test_remote_user_deprecation.py,django-2.2,2.2,50.0,34.0,37.0,0.0,4.0,8.0,8.0,8.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,4.755,0.5,2.377,0.132,0.001585,10.0,2.0,1.0,10.0,0
tests\auth_tests\test_signals.py,django-2.2,2.2,114.0,84.0,80.0,7.0,4.0,20.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,1.0,28.0,0
tests\auth_tests\test_templates.py,django-2.2,2.2,69.0,55.0,56.0,2.0,0.0,11.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,2.0,1.0,14.0,0
tests\auth_tests\test_tokens.py,django-2.2,2.2,77.0,53.0,50.0,6.0,11.0,10.0,7.0,7.0,1.0,6.0,3.0,6.0,7.0,9.0,15.51,25.266,0.5,12.633,0.702,0.008422,11.0,2.0,1.0,15.0,0
tests\auth_tests\test_validators.py,django-2.2,2.2,261.0,171.0,210.0,5.0,0.0,46.0,41.0,41.0,1.0,6.0,7.0,14.0,7.0,21.0,15.51,58.954,1.167,68.78,3.821,0.019651,26.0,1.0,1.0,15.0,0
tests\auth_tests\test_views.py,django-2.2,2.2,1288.0,825.0,970.0,80.0,39.0,179.0,164.0,164.0,5.0,66.0,40.0,74.0,71.0,114.0,410.54,701.071,2.803,1965.124,109.174,0.23369,127.0,3.0,3.0,59.0,1
tests\auth_tests\urls.py,django-2.2,2.2,153.0,53.0,119.0,3.0,0.0,31.0,16.0,16.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,4.755,0.5,2.377,0.132,0.001585,2.0,1.0,1.0,2.0,0
tests\auth_tests\urls_admin.py,django-2.2,2.2,18.0,10.0,11.0,1.0,3.0,3.0,0.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,4.755,0.5,2.377,0.132,0.001585,0.0,0.0,0.0,0.0,0
tests\auth_tests\urls_custom_user_admin.py,django-2.2,2.2,23.0,13.0,15.0,2.0,0.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0
tests\auth_tests\__init__.py,django-2.2,2.2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tests\backends\models.py,django-2.2,2.2,113.0,68.0,75.0,0.0,0.0,38.0,29.0,29.0,1.0,5.0,3.0,6.0,6.0,9.0,11.61,23.265,0.6,13.959,0.775,0.007755,36.0,1.0,1.0,5.0,0
tests\backends\tests.py,django-2.2,2.2,795.0,504.0,520.0,79.0,83.0,107.0,109.0,109.0,6.0,45.0,33.0,59.0,51.0,92.0,262.643,521.863,3.933,2052.662,114.037,0.173954,95.0,7.0,2.0,55.0,1
tests\backends\test_ddl_references.py,django-2.2,2.2,183.0,128.0,145.0,0.0,0.0,38.0,46.0,46.0,2.0,12.0,6.0,12.0,14.0,18.0,45.02,68.532,1.0,68.532,3.807,0.022844,31.0,2.0,4.0,19.0,0
tests\backends\test_utils.py,django-2.2,2.2,92.0,72.0,73.0,3.0,0.0,15.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,3.0,1.0,12.0,0
tests\backends\__init__.py,django-2.2,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tests\base\models.py,django-2.2,2.2,13.0,5.0,4.0,3.0,0.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0
tests\base\__init__.py,django-2.2,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tests\bash_completion\tests.py,django-2.2,2.2,104.0,69.0,62.0,2.0,19.0,16.0,19.0,19.0,2.0,3.0,2.0,4.0,5.0,6.0,6.755,13.932,1.333,18.575,1.032,0.004644,15.0,4.0,0.0,23.0,0
tests\bash_completion\__init__.py,django-2.2,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tests\basic\models.py,django-2.2,2.2,42.0,20.0,24.0,2.0,4.0,12.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,3.0,0
tests\basic\tests.py,django-2.2,2.2,753.0,419.0,565.0,67.0,27.0,92.0,71.0,71.0,1.0,4.0,2.0,4.0,5.0,6.0,8.0,13.932,0.5,6.966,0.387,0.004644,63.0,4.0,1.0,49.0,0
tests\basic\__init__.py,django-2.2,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tests\builtin_server\tests.py,django-2.2,2.2,134.0,85.0,78.0,7.0,16.0,34.0,33.0,33.0,5.0,15.0,10.0,17.0,20.0,27.0,70.213,116.692,2.833,330.627,18.368,0.038897,27.0,2.0,1.0,10.0,0
tests\builtin_server\__init__.py,django-2.2,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tests\bulk_create\models.py,django-2.2,2.2,94.0,65.0,65.0,2.0,0.0,27.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,3.0,25.0,0
tests\bulk_create\tests.py,django-2.2,2.2,297.0,178.0,237.0,12.0,17.0,31.0,46.0,46.0,5.0,20.0,11.0,22.0,25.0,33.0,98.048,153.247,2.75,421.43,23.413,0.051082,28.0,3.0,1.0,45.0,0
tests\bulk_create\__init__.py,django-2.2,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tests\cache\closeable_cache.py,django-2.2,2.2,12.0,7.0,7.0,0.0,0.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,0
tests\cache\liberal_backend.py,django-2.2,2.2,10.0,6.0,6.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0
tests\cache\models.py,django-2.2,2.2,13.0,9.0,9.0,0.0,0.0,4.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,4.755,0.5,2.377,0.132,0.001585,2.0,0.0,0.0,2.0,0
tests\cache\tests.py,django-2.2,2.2,2330.0,1471.0,1655.0,189.0,83.0,382.0,272.0,272.0,10.0,79.0,50.0,97.0,89.0,147.0,531.218,951.933,6.139,5844.144,324.675,0.317311,216.0,8.0,2.0,96.0,1
tests\cache\__init__.py,django-2.2,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tests\check_framework\models.py,django-2.2,2.2,16.0,10.0,10.0,0.0,0.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0
tests\check_framework\tests.py,django-2.2,2.2,307.0,212.0,232.0,3.0,0.0,72.0,51.0,51.0,2.0,5.0,3.0,6.0,7.0,9.0,13.61,25.266,1.2,30.319,1.684,0.008422,51.0,5.0,1.0,20.0,0
tests\check_framework\test_caches.py,django-2.2,2.2,35.0,20.0,24.0,0.0,6.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,5.0,0
tests\check_framework\test_database.py,django-2.2,2.2,61.0,38.0,47.0,1.0,3.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,1.0,12.0,0
tests\check_framework\test_model_checks.py,django-2.2,2.2,75.0,47.0,62.0,0.0,0.0,13.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,7.0,0
tests\check_framework\test_model_field_deprecation.py,django-2.2,2.2,84.0,38.0,70.0,0.0,0.0,14.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,1.0,6.0,0
tests\check_framework\test_multi_db.py,django-2.2,2.2,43.0,31.0,30.0,0.0,3.0,10.0,10.0,10.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,4.755,0.5,2.377,0.132,0.001585,15.0,2.0,1.0,8.0,0
tests\check_framework\test_security.py,django-2.2,2.2,536.0,274.0,343.0,0.0,110.0,83.0,99.0,99.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,4.755,0.5,2.377,0.132,0.001585,67.0,2.0,1.0,11.0,1
tests\check_framework\test_templates.py,django-2.2,2.2,96.0,60.0,78.0,0.0,3.0,15.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,1.0,11.0,0
tests\check_framework\test_translation.py,django-2.2,2.2,41.0,16.0,37.0,19.0,0.0,4.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,4.0,0
tests\check_framework\test_urls.py,django-2.2,2.2,212.0,140.0,175.0,5.0,0.0,32.0,38.0,38.0,2.0,5.0,3.0,6.0,7.0,9.0,13.61,25.266,1.2,30.319,1.684,0.008422,30.0,2.0,1.0,21.0,0
tests\check_framework\__init__.py,django-2.2,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tests\choices\models.py,django-2.2,2.2,25.0,9.0,11.0,0.0,8.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,2.0,0
tests\choices\tests.py,django-2.2,2.2,25.0,15.0,15.0,3.0,0.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,5.0,0
tests\choices\__init__.py,django-2.2,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tests\conditional_processing\tests.py,django-2.2,2.2,276.0,223.0,220.0,6.0,12.0,39.0,31.0,31.0,2.0,4.0,2.0,4.0,6.0,6.0,10.0,15.51,1.0,15.51,0.862,0.00517,5.0,1.0,1.0,34.0,0
tests\conditional_processing\urls.py,django-2.2,2.2,14.0,3.0,12.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tests\conditional_processing\views.py,django-2.2,2.2,53.0,38.0,27.0,0.0,9.0,17.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tests\conditional_processing\__init__.py,django-2.2,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tests\constraints\models.py,django-2.2,2.2,22.0,8.0,19.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0
tests\constraints\tests.py,django-2.2,2.2,189.0,112.0,162.0,0.0,0.0,26.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4.0,1.0,24.0,0
tests\constraints\__init__.py,django-2.2,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tests\contenttypes_tests\models.py,django-2.2,2.2,138.0,83.0,81.0,0.0,11.0,45.0,39.0,39.0,1.0,8.0,5.0,10.0,9.0,15.0,24.0,47.549,0.625,29.718,1.651,0.01585,36.0,2.0,1.0,5.0,0
tests\contenttypes_tests\test_checks.py,django-2.2,2.2,236.0,113.0,193.0,4.0,0.0,41.0,21.0,21.0,1.0,4.0,2.0,4.0,5.0,6.0,8.0,13.932,0.5,6.966,0.387,0.004644,34.0,2.0,1.0,13.0,0
